DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3295750.3298930,"Gaikwad, Manali, Hoeber, Orland",Henry,,,,,No,No,No,,,ACM,,,An Interactive Image Retrieval Approach to Searching for Images on Social Media,https://doi.org/10.1145/3295750.3298930,Proceedings of the 2019 Conference on Human Information Interaction and Retrieval,,2019
NA,"Balog, Krisztian, Ramampiaro, Heri, N\o{}rv\r{a}g, Kjetil",Henry,,,,,No,No,No,,,ACM,,,KBAAA: a web-based toolkit for the assessment and analysis of knowledge base acceleration systems,NA,Proceedings of the 10th Conference on Open Research Areas in Information Retrieval,,2013
10.1145/3002151.3002159,"Sun, Zhida, Sun, Mingfei, Cao, Nan, Ma, Xiaojuan",Henry,,,,,No,No,No,,,ACM,,,VideoForest: interactive visual summarization of video streams based on danmu data,https://doi.org/10.1145/3002151.3002159,SIGGRAPH ASIA 2016 Symposium on Visualization,,2016
10.1145/3672406.3672418,"O Fearghail, Colm, Gadipudi, Nivesh, Young, Gareth William",Henry,,,,,No,No,No,,,ACM,,,Back to the Virtual Future: Presence in Cinematic Virtual Reality,https://doi.org/10.1145/3672406.3672418,Proceedings of the 2024 ACM International Conference on Interactive Media Experiences Workshops,,2024
10.1145/3579473,"Zhao, Yuheng, Wang, Xinyu, Guo, Chen, Lu, Min, Chen, Siming",Henry,,,,,No,No,No,,,ACM,,,ContextWing: Pair-wise Visual Comparison for Evolving Sequential Patterns of Contexts in Social Media Data Streams,https://doi.org/10.1145/3579473,Proc. ACM Hum.-Comput. Interact.,,2023
10.1145/3664647.3681373,"Wang, Xiyu, Wang, Yufei, Tsutsui, Satoshi, Lin, Weisi, Wen, Bihan, Kot, Alex",Henry,,,,,No,No,No,,,ACM,,,Evolving Storytelling: Benchmarks and Methods for New Character Customization with Diffusion Models,https://doi.org/10.1145/3664647.3681373,Proceedings of the 32nd ACM International Conference on Multimedia,,2024
NA,"Hornung, Heiko, Baranauskas, M. Cecilia C.",Henry,,,,,No,No,No,,,ACM,,,Timelines as mediators of lifelong learning processes,NA,Proceedings of the 11th Brazilian Symposium on Human Factors in Computing Systems,,2012
10.1145/3637494.3637504,"He, Xuejiao",Henry,,,,,No,No,No,,,ACM,,,Research on Strategies for Enhancing Immersive Synesthetic Experience in 4D New Media Interactive Animation from the Perspective of Embodied Cognition,https://doi.org/10.1145/3637494.3637504,"Proceedings of the 2023 International Conference on Electronics, Computers and Communication Technology",,2024
10.1145/3148173.3148187,"Tsch\{u}ter, Ronny, Ziegenbalg, Johannes, Wesarg, Bert, Weber, Matthias, Herold, Christian, D\{o}bel, Sebastian, Brendel, Ronny",Henry,,,,,No,No,No,,,ACM,,,An LLVM Instrumentation Plug-in for Score-P,https://doi.org/10.1145/3148173.3148187,Proceedings of the Fourth Workshop on the LLVM Compiler Infrastructure in HPC,,2017
10.1145/3175684.3175713,"Nie, Chageng, Sun, Lan",Henry,,,,,No,No,No,,,ACM,,,A Scientometric Analysis of Aerogel Research in 1996-2015: Visualizing the Knowledge Domain and Emerging Trends,https://doi.org/10.1145/3175684.3175713,Proceedings of the International Conference on Big Data and Internet of Thing,,2017
10.1145/3437257,"Morse, Christopher, Niess, Jasmin, Lallemand, Carine, Wieneke, Lars, Koenig, Vincent",Henry,,,,,No,No,No,,,ACM,,,Casual Leisure in Rich-Prospect: Advancing Visual Information Behavior for Digital Museum Collections,https://doi.org/10.1145/3437257,J. Comput. Cult. Herit.,,2021
10.1145/3461778.3462030,"Lee, Bokyung, Lee, Michael, Mogk, Jeremy, Goldstein, Rhys, Bibliowicz, Jacobo, Brudy, Frederik, Tessier, Alexander",Henry,,,,,No,No,No,,,ACM,,,Designing a Multi-Agent Occupant Simulation System to Support Facility Planning and Analysis for COVID-19,https://doi.org/10.1145/3461778.3462030,Proceedings of the 2021 ACM Designing Interactive Systems Conference,,2021
10.1145/2245276.2245432,"Fischer, Fabian, Mansmann, Florian, Keim, Daniel A.",Henry,,,,,No,No,No,,,ACM,,,Real-time visual analytics for event data streams,https://doi.org/10.1145/2245276.2245432,Proceedings of the 27th Annual ACM Symposium on Applied Computing,,2012
10.1145/3079368.3079400,"Oka, Akio, Masuhara, Hidehiko, Imai, Tomoki, Aotani, Tomoyuki",Henry,,,,,No,No,No,,,ACM,,,Live Data Structure Programming,https://doi.org/10.1145/3079368.3079400,"Companion Proceedings of the 1st International Conference on the Art, Science, and Engineering of Programming",,2017
10.1145/2536146.2536151,"Barkati, Karim, Rousseaux, Francis",Henry,,,,,No,No,No,,,ACM,,,Considering music production and culture management as an emerging digital ecosystem,https://doi.org/10.1145/2536146.2536151,Proceedings of the Fifth International Conference on Management of Emergent Digital EcoSystems,,2013
10.1145/3612783.3612785,"Pel\'{a}ez, Carlos Alberto, Solano, Andr\'{e}s, De La Rosa, Emma Adriana, L\'{o}pez, Jes\'{u}s Alfonso, Parra, Jorge Andrick, Ospina, Johann Alexis, Ram\'{\i}rez, Gabriel Mauricio, Moreira, Fernando",Henry,,,,,No,No,No,,,ACM,,,Learning analytics in the design of interactive multimedia experiences for elementary education: a systematic review,https://doi.org/10.1145/3612783.3612785,Proceedings of the XXIII International Conference on Human Computer Interaction,,2024
10.1145/3578837.3578874,"Mou, Tsai-Yun",Henry,,,,,No,No,No,,,ACM,,,Interdisciplinary Digital Storytelling with Animation: Design Students’ Knowledge Acquisition and Project Accomplishment,https://doi.org/10.1145/3578837.3578874,Proceedings of the 2022 6th International Conference on Education and E-Learning,,2023
10.1145/3636341.3636354,"Campos, Ricardo, Jorge, Al\'{\i}pio M., Jatowt, Adam, Bhatia, Sumit, Litvak, Marina, Cordeiro, Jo\~{a}o Paulo, Rocha, Concei\c{c}\~{a}o, Sousa, Hugo, Mansouri, Behrooz",Henry,,,,,No,No,No,,,ACM,,,Report on the 6th International Workshop on Narrative Extraction from Texts (Text2Story 2023) at ECIR 2023,https://doi.org/10.1145/3636341.3636354,SIGIR Forum,,2023
10.1145/2807591.2807634,"Isaacs, Katherine E., Bhatele, Abhinav, Lifflander, Jonathan, B\{o}hme, David, Gamblin, Todd, Schulz, Martin, Hamann, Bernd, Bremer, Peer-Timo",Henry,,,,,No,No,No,,,ACM,,,Recovering logical structure from Charm++ event traces,https://doi.org/10.1145/2807591.2807634,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis",,2015
10.1145/3303772.3303793,"de Quincey, Ed, Briggs, Chris, Kyriacou, Theocharis, Waller, Richard",Henry,,,,,No,No,No,,,ACM,,,Student Centred Design of a Learning Analytics System,https://doi.org/10.1145/3303772.3303793,Proceedings of the 9th International Conference on Learning Analytics &amp; Knowledge,,2019
10.1145/3313831.3376181,"Kong, Ha-Kyung, Karahalios, Karrie",Henry,,,,,No,No,No,,,ACM,,,Addressing Cognitive and Emotional Barriers in Parent-Clinician Communication through Behavioral Visualization Webtools,https://doi.org/10.1145/3313831.3376181,Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,,2020
10.1145/3491102.3517712,"Xie, Laixin, Wu, Ziming, Xu, Peng, Li, Wei, Ma, Xiaojuan, Li, Quan",Henry,,,,,No,No,No,,,ACM,,,RoleSeer: Understanding Informal Social Role Changes in MMORPGs via Visual Analytics,https://doi.org/10.1145/3491102.3517712,Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,,2022
10.1145/3569506,"Zhang, Lefan, Zhou, Cyrus, Littman, Michael L., Ur, Blase, Lu, Shan",Henry,,,,,No,No,No,,,ACM,,,Helping Users Debug Trigger-Action Programs,https://doi.org/10.1145/3569506,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,,2023
10.1145/2740908.2742571,"Zhou, Xing, Cao, Juan, Jin, Zhiwei, Xie, Fei, Su, Yu, Chu, Dafeng, Cao, Xuehui, Zhang, Junqiang",Henry,,,,,No,No,No,,,ACM,,,Real-Time News Cer tification System on Sina Weibo,https://doi.org/10.1145/2740908.2742571,Proceedings of the 24th International Conference on World Wide Web,,2015
10.1145/3411764.3445538,"Schoop, Eldon, Huang, Forrest, Hartmann, Bjoern",Henry,,,,,No,No,No,,,ACM,,,UMLAUT: Debugging Deep Learning Programs using Program Structure and Model Behavior,https://doi.org/10.1145/3411764.3445538,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,,2021
10.1145/3544548.3581470,"Li, Wenchao, Wang, Zhan, Wang, Yun, Weng, Di, Xie, Liwenhan, Chen, Siming, Zhang, Haidong, Qu, Huamin",Henry,,,,,No,No,No,,,ACM,,,GeoCamera: Telling Stories in Geographic Visualizations with Camera Movements,https://doi.org/10.1145/3544548.3581470,Proceedings of the 2023 CHI Conference on Human Factors in Computing Systems,,2023
10.1145/1374596.1374609,"Roth, Philip C.",Henry,,,,,No,No,No,,,ACM,,,Characterizing the I/O behavior of scientific applications on the Cray XT,https://doi.org/10.1145/1374596.1374609,Proceedings of the 2nd International Workshop on Petascale Data Storage: Held in Conjunction with Supercomputing '07,,2007
10.1145/2556288.2556972,"Hong, Kyung Wha, St. Amant, Robert",Henry,,,,,No,No,No,,,ACM,,,Novice use of a predictive human performance modeling tool to produce UI recommendations,https://doi.org/10.1145/2556288.2556972,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2014
10.1145/2492517.2492638,"Wu, Meng Qi Yelena, Faris, Robert, Ma, Kwan-Liu","Alex, Henry",,,,,Yes,Yes,No,,,ACM,Exclude - Other,,Visual exploration of academic career paths,https://doi.org/10.1145/2492517.2492638,Proceedings of the 2013 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,,2013
10.1145/3641519.3657481,"Yang, Shiyuan, Hou, Liang, Huang, Haibin, Ma, Chongyang, Wan, Pengfei, Zhang, Di, Chen, Xiaodong, Liao, Jing",Henry,,,,,No,No,No,,,ACM,,,Direct-a-Video: Customized Video Generation with User-Directed Camera Movement and Object Motion,https://doi.org/10.1145/3641519.3657481,ACM SIGGRAPH 2024 Conference Papers,,2024
10.1145/2983527,"Olenewa, Ricardo, Olson, Gary M., Olson, Judith S., Russell, Daniel M.",Henry,,,,,No,No,No,,,ACM,,,"Now that we can write simultaneously, how do we use that to our advantage?",https://doi.org/10.1145/2983527,Commun. ACM,,2017
10.1145/3593580,"Hearst, Marti A.",Henry,,,,,No,No,No,,,ACM,,,"Show It or Tell It? Text, Visualization, and Their Combination",https://doi.org/10.1145/3593580,Commun. ACM,,2023
10.1145/2207676.2207739,"Park, Heekyong, Choi, Jinwook",Henry,,,,,No,No,No,,,ACM,,,V-model: a new innovative model to chronologically visualize narrative clinical texts,https://doi.org/10.1145/2207676.2207739,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2012
10.1145/3729176.3729177,"Akiri, Surely, Joshi, Vasundhara, Williams, Gary, Mentis, Helena M., Kleinsmith, Andrea",Henry,,,,,No,No,No,,,ACM,,,Navigating Stress Data Sharing: Guardrails for Effective Physiological Data Sharing in High-Stress Training Environments,https://doi.org/10.1145/3729176.3729177,Proceedings of the 4th Annual Symposium on Human-Computer Interaction for Work,,2025
10.1145/3099564.3099570,"Ciccone, Lo\{\i}c, Guay, Martin, Nitti, Maurizio, Sumner, Robert W.",Henry,,,,,No,No,No,,,ACM,,,Authoring motion cycles,https://doi.org/10.1145/3099564.3099570,Proceedings of the ACM SIGGRAPH / Eurographics Symposium on Computer Animation,,2017
10.1145/3675399,"Wang, Yuanyuan, Liu, Meng, Song, Xuemeng, Nie, Liqiang",Henry,,,,,No,No,No,,,ACM,,,Harnessing Representative Spatial-Temporal Information for Video Question Answering,https://doi.org/10.1145/3675399,ACM Trans. Multimedia Comput. Commun. Appl.,,2024
10.1145/3173574.3173664,"Butscher, Simon, Hubenschmid, Sebastian, M\{u}ller, Jens, Fuchs, Johannes, Reiterer, Harald",Henry,,,,,No,No,No,,,ACM,,,"Clusters, Trends, and Outliers: How Immersive Technologies Can Facilitate the Collaborative Analysis of Multidimensional Data",https://doi.org/10.1145/3173574.3173664,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,2018
10.1145/2976796.2976848,"De Lucia Castillo, Felicia, Brito, Jessica Oliveira, Santos, Celso A.S.",Henry,,,,,No,No,No,,,ACM,,,Animated Words Clouds to View and Extract Knowledge from Textual Information,https://doi.org/10.1145/2976796.2976848,Proceedings of the 22nd Brazilian Symposium on Multimedia and the Web,,2016
10.1145/3423048,"Segura, Vin\'{I}cius, Barbosa, Simone D. J.",Henry,,,,,No,No,No,,,ACM,,,BONNIE: Building Online Narratives from Noteworthy Interaction Events,https://doi.org/10.1145/3423048,ACM Trans. Interact. Intell. Syst.,,2021
10.1145/1833280.1833286,"Krstaji\'{c}, Milo\v{s}, Bertini, Enrico, Mansmann, Florian, Keim, Daniel A.",Henry,,,,,No,No,No,,,ACM,,,Visual analysis of news streams with article threads,https://doi.org/10.1145/1833280.1833286,Proceedings of the First International Workshop on Novel Data Stream Pattern Mining Techniques,,2010
10.1145/2393347.2393392,"Worring, Marcel, Engl, Andreas, Smeria, Camelia",Henry,,,,,No,No,No,,,ACM,,,A multimedia analytics framework for browsing image collections in digital forensics,https://doi.org/10.1145/2393347.2393392,Proceedings of the 20th ACM International Conference on Multimedia,,2012
10.1145/2669557.2669558,"Kurzhals, Kuno, Bopp, Cyrill Fabian, B\{a}ssler, Jochen, Ebinger, Felix, Weiskopf, Daniel",Henry,,,,,No,No,No,,,ACM,,,Benchmark data for evaluating visualization and analysis techniques for eye tracking for video stimuli,https://doi.org/10.1145/2669557.2669558,Proceedings of the Fifth Workshop on Beyond Time and Errors: Novel Evaluation Methods for Visualization,,2014
10.1145/3173574.3174157,"Choi, Minsuk, Shin, Sungbok, Choi, Jinho, Langevin, Scott, Bethune, Christopher, Horne, Philippe, Kronenfeld, Nathan, Kannan, Ramakrishnan, Drake, Barry, Park, Haesun, Choo, Jaegul",Henry,,,,,No,No,No,,,ACM,,,TopicOnTiles: Tile-Based Spatio-Temporal Event Analytics via Exclusive Topic Modeling on Social Media,https://doi.org/10.1145/3173574.3174157,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,2018
10.1145/3679318.3685385,"Liu, Jinyu, Law, Effie Lai-Chong, Shum, Hubert P. H.",Henry,,,,,No,No,No,,,ACM,,,Chatbots and Art Critique: A Comparative Study of Chatbot and Human Experts in Traditional Chinese Painting Education,https://doi.org/10.1145/3679318.3685385,Proceedings of the 13th Nordic Conference on Human-Computer Interaction,,2024
10.1145/3387165,"Hinterreiter, Andreas, Steinparz, Christian, Sch\{O}fl, Moritz, Stitz, Holger, Streit, Marc",Henry,,,,,No,No,No,,,ACM,,,Projection Path Explorer: Exploring Visual Patterns in Projected Decision-making Paths,https://doi.org/10.1145/3387165,ACM Trans. Interact. Intell. Syst.,,2021
10.1145/2212776.2212821,"John, Bonnie, Starr, Sonal, Utesch, Brian",Henry,,,,,No,No,No,,,ACM,,,"Experiences with collaborative, distributed predictive human performance modeling",https://doi.org/10.1145/2212776.2212821,CHI '12 Extended Abstracts on Human Factors in Computing Systems,,2012
10.1145/3491102.3517550,"Hubenschmid, Sebastian, Wieland, Jonathan, Fink, Daniel Immanuel, Batch, Andrea, Zagermann, Johannes, Elmqvist, Niklas, Reiterer, Harald",Henry,,,,,No,No,No,,,ACM,,,ReLive: Bridging In-Situ and Ex-Situ Visual Analytics for Analyzing Mixed Reality User Studies,https://doi.org/10.1145/3491102.3517550,Proceedings of the 2022 CHI Conference on Human Factors in Computing Systems,,2022
10.1145/3141865.3141868,"Roth, Philip C., Shan, Hongzhang, Riegner, David, Antolin, Nikolas, Sreepathi, Sarat, Oliker, Leonid, Williams, Samuel, Moore, Shirley, Windl, Wolfgang",Henry,,,,,No,No,No,,,ACM,,,Performance analysis and optimization of the RAMPAGE metal alloy potential generation software,https://doi.org/10.1145/3141865.3141868,Proceedings of the 4th ACM SIGPLAN International Workshop on Software Engineering for Parallel Systems,,2017
10.1145/3209978.3210018,"Lin, Jimmy, Mohammed, Salman, Sequiera, Royal, Tan, Luchen",Henry,,,,,No,No,No,,,ACM,,,Update Delivery Mechanisms for Prospective Information Needs: An Analysis of Attention in Mobile Users,https://doi.org/10.1145/3209978.3210018,The 41st International ACM SIGIR Conference on Research &amp; Development in Information Retrieval,,2018
10.1145/2975167.2985688,"Murugesan, Sugeerth, Bouchard, Kristofer, Chang, Edward, Dougherty, Max, Hamann, Bernd, Weber, Gunther H.","Alex, Henry",,,,,Yes,Yes,No,,,ACM,Exclude - Sankey,,Hierarchical Spatio-temporal Visual Analysis of Cluster Evolution in Electrocorticography Data,https://doi.org/10.1145/2975167.2985688,"Proceedings of the 7th ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",,2016
10.1145/3160504.3160538,"Ghidini, Eduardo, Santos, Caroline Q., Manssour, Isabel, Silveira, Milene S.",Henry,,,,,No,No,No,,,ACM,,,Analyzing Design Strategies for Narrative Visualization,https://doi.org/10.1145/3160504.3160538,Proceedings of the XVI Brazilian Symposium on Human Factors in Computing Systems,,2017
10.1145/3463369,"Grohmann, Johannes, Eismann, Simon, Bauer, Andr\'{e}, Spinner, Simon, Blum, Johannes, Herbst, Nikolas, Kounev, Samuel",Henry,,,,,No,No,No,,,ACM,,,SARDE: A Framework for Continuous and Self-Adaptive Resource Demand Estimation,https://doi.org/10.1145/3463369,ACM Trans. Auton. Adapt. Syst.,,2021
10.1145/3661904.3661924,"Sy, Miygel Lorenz G., Recto, Christian Allen A., De Asis, Arriane C., Loyola, Carlito O., Jr.",Henry,,,,,No,No,No,,,ACM,,,Development of Interactive 2D Animation as Formative Assessment Tool for Teaching Values Education in the Philippines,https://doi.org/10.1145/3661904.3661924,Proceedings of the 2024 10th International Conference on Education and Training Technologies,,2024
10.1145/2986416.2986444,"Greenhalgh, Chris, Benford, Steve, Hazzard, Adrian",Henry,,,,,No,No,No,,,ACM,,,^muzicode$: Composing and Performing Musical Codes,https://doi.org/10.1145/2986416.2986444,Proceedings of the Audio Mostly 2016,,2016
10.1145/2998181.2998346,"Marrinan, Thomas, Leigh, Jason, Renambot, Luc, Forbes, Angus, Jones, Steve, Johnson, Andrew E.",Henry,,,,,No,No,No,,,ACM,,,Mixed Presence Collaboration using Scalable Visualizations in Heterogeneous Display Spaces,https://doi.org/10.1145/2998181.2998346,Proceedings of the 2017 ACM Conference on Computer Supported Cooperative Work and Social Computing,,2017
10.1145/2330601.2330653,"L\'{a}russon, J\'{o}hann Ari, White, Brandon",Henry,,,,,No,No,No,,,ACM,,,Monitoring student progress through their written point of originality,https://doi.org/10.1145/2330601.2330653,Proceedings of the 2nd International Conference on Learning Analytics and Knowledge,,2012
10.1145/3434780.3436592,"Barrera Ya\~{n}ez, Alma Gloria, Alonso-Fernandez, Cristina, Fernandez Manjon, Baltasar",Henry,,,,,No,No,No,,,ACM,,,Review of serious games to educate on gender equality,https://doi.org/10.1145/3434780.3436592,Eighth International Conference on Technological Ecosystems for Enhancing Multiculturality,,2021
10.1145/3706598.3713132,"Jain, Radhika Pankaj, Drogemuller, Adam, Satriadi, Kadek Ananta, Smith, Ross, Cunningham, Andrew",Henry,,,,,No,No,No,,,ACM,,,Strollytelling: Coupling Animation with Physical Locomotion to Explore Immersive Data Stories,https://doi.org/10.1145/3706598.3713132,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/1518701.1518942,"Ko, Amy J., Myers, Brad A.",Henry,,,,,No,No,No,,,ACM,,,Finding causes of program output with the Java Whyline,https://doi.org/10.1145/1518701.1518942,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2009
NA,"Jorge, Ana, Chambel, Teresa",Henry,,,,,No,No,No,,,ACM,,,Exploring movies through interactive visualizations,NA,Proceedings of the 27th International BCS Human Computer Interaction Conference,,2013
10.1145/1385569.1385601,"Tang, Anthony, Greenberg, Saul, Fels, Sidney",Henry,,,,,No,No,No,,,ACM,,,Exploring video streams using slit-tear visualizations,https://doi.org/10.1145/1385569.1385601,Proceedings of the Working Conference on Advanced Visual Interfaces,,2008
10.1145/3605655.3605683,"Tj\{a}rnhage, Anja, S\{o}derstr\{o}m, Ulrik, Norberg, Ole, Andersson, Mattias, Mejtoft, Thomas",Henry,,,,,No,No,No,,,ACM,,,The Impact of Scrollytelling on the Reading Experience of Long-Form Journalism,https://doi.org/10.1145/3605655.3605683,Proceedings of the European Conference on Cognitive Ergonomics 2023,,2023
10.1145/3527927.3531455,"Lewis, Makayla, Toselli, Mauro, Baker, Ruth, R\'{e}dei, Julia, Ohlenschlager, Claire Elisabeth",Henry,,,,,No,No,No,,,ACM,,,Portraying What is in Front of You: Virtual Tours and Online Whiteboards to Facilitate Art Practice during the COVID-19 Pandemic,https://doi.org/10.1145/3527927.3531455,Proceedings of the 14th Conference on Creativity and Cognition,,2022
10.1145/3706598.3713305,"Nebeling, Michael, Wu, Liwei, Maddali, Hanuma Teja",Henry,,,,,No,No,No,,,ACM,,,XCam: Mixed-Initiative Virtual Cinematography for Live Production of Virtual Reality Experiences,https://doi.org/10.1145/3706598.3713305,Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems,,2025
10.1145/3173574.3174023,"Hara, Kotaro, Adams, Abigail, Milland, Kristy, Savage, Saiph, Callison-Burch, Chris, Bigham, Jeffrey P.",Henry,,,,,No,No,No,,,ACM,,,A Data-Driven Analysis of Workers' Earnings on Amazon Mechanical Turk,https://doi.org/10.1145/3173574.3174023,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,,2018
10.1145/3526113.3545617,"Suh, Sangho, Zhao, Jian, Law, Edith",Henry,,,,,No,No,No,,,ACM,,,"CodeToon: Story Ideation, Auto Comic Generation, and Structure Mapping for Code-Driven Storytelling",https://doi.org/10.1145/3526113.3545617,Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,,2022
10.1145/3025453.3025777,"Du, Fan, Plaisant, Catherine, Spring, Neil, Shneiderman, Ben",Henry,,,,,No,No,No,,,ACM,,,"Finding Similar People to Guide Life Choices: Challenge, Design, and Evaluation",https://doi.org/10.1145/3025453.3025777,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,2017
10.1145/1385569.1385578,"Indratmo, Vassileva, Julita, Gutwin, Carl",Henry,,,,,No,No,No,,,ACM,,,Exploring blog archives with interactive visualization,https://doi.org/10.1145/1385569.1385578,Proceedings of the Working Conference on Advanced Visual Interfaces,,2008
10.1145/3441565,"de Oliveira Martins, Luiza Prado",Henry,,,,,No,No,No,,,ACM,,,"The Humboldt Cup: on narrative, taxonomies, and colonial violence",https://doi.org/10.1145/3441565,Interactions,,2020
10.1145/3184558.3188726,"Spitz, Andreas, Gertz, Michael",Henry,,,,,No,No,No,,,ACM,,,Exploring Entity-centric Networks in Entangled News Streams,https://doi.org/10.1145/3184558.3188726,Companion Proceedings of the The Web Conference 2018,,2018
10.1145/3641822.3641882,"Mendes, Wendy, Souza, Samara, De Souza, Cleidson",Henry,,,,,No,No,No,,,ACM,,,You're on a bicycle with a little motor: Benefits and Challenges of Using AI Code Assistants,https://doi.org/10.1145/3641822.3641882,Proceedings of the 2024 IEEE/ACM 17th International Conference on Cooperative and Human Aspects of Software Engineering,,2024
10.1145/1592440.1592442,"Hundhausen, Christopher D., Farley, Sean F., Brown, Jonathan L.",Henry,,,,,No,No,No,,,ACM,,,Can direct manipulation lower the barriers to computer programming and promote transfer of training? An experimental study,https://doi.org/10.1145/1592440.1592442,ACM Trans. Comput.-Hum. Interact.,,2009
10.1145/3664647.3685511,"An, Jie, Yang, Zhengyuan, Li, Linjie, Wang, Jianfeng, Lin, Kevin, Liu, Zicheng, Wang, Lijuan, Luo, Jiebo",Henry,,,,,No,No,No,,,ACM,,,OpenLEAF: A Novel Benchmark for Open-Domain Interleaved Image-Text Generation,https://doi.org/10.1145/3664647.3685511,Proceedings of the 32nd ACM International Conference on Multimedia,,2024
10.1145/3392839,"Cho, Hyunsung, Oh, Jinyoung, Kim, Juho, Lee, Sung-Ju",Henry,,,,,No,No,No,,,ACM,,,"I Share, You Care: Private Status Sharing and Sender-Controlled Notifications in Mobile Instant Messaging",https://doi.org/10.1145/3392839,Proc. ACM Hum.-Comput. Interact.,,2020
10.1145/1985793.1985890,"Bellamy, Rachel, John, Bonnie, Kogan, Sandra",Henry,,,,,No,No,No,,,ACM,,,Deploying CogTool: integrating quantitative usability assessment into real-world software development,https://doi.org/10.1145/1985793.1985890,Proceedings of the 33rd International Conference on Software Engineering,,2011
10.1145/2370216.2370248,"Lei, Jinna, Ren, Xiaofeng, Fox, Dieter",Henry,,,,,No,No,No,,,ACM,,,Fine-grained kitchen activity recognition using RGB-D,https://doi.org/10.1145/2370216.2370248,Proceedings of the 2012 ACM Conference on Ubiquitous Computing,,2012
10.1145/3095813,"Segura, Vin\'{\i}cius, Barbosa, Simone D.J.",Henry,,,,,No,No,No,,,ACM,,,HistoryViewer: Instrumenting a Visual Analytics Application to Support Revisiting a Session of Interactive Data Analysis,https://doi.org/10.1145/3095813,Proc. ACM Hum.-Comput. Interact.,,2017
10.1145/3373147,"Porter, Emily, Krafft, P. M., Keegan, Brian",Henry,,,,,No,No,No,,,ACM,,,Visual Narratives and Collective Memory across Peer-Produced Accounts of Contested Sociopolitical Events,https://doi.org/10.1145/3373147,Trans. Soc. Comput.,,2020
10.1145/2684721.2684736,"Lee, Irene, Martin, Fred, Apone, Katie",Henry,,,,,No,No,No,,,ACM,,,Integrating computational thinking across the K--8 curriculum,https://doi.org/10.1145/2684721.2684736,ACM Inroads,,2014
10.1145/3657054.3657144,"Wang, Yifan, Ran, Bing, Ma, Liang",Henry,,,,,No,No,No,,,ACM,,,Paradoxes in Digital Government: A Systematic Literature Review,https://doi.org/10.1145/3657054.3657144,Proceedings of the 25th Annual International Conference on Digital Government Research,,2024
10.1145/3464385.3464705,"Palma, Stefano, Ripamonti, Laura Anna, Borghese, Nunzio Alberto, Maggiorini, Dario, Gadia, Davide",Henry,,,,,No,No,No,,,ACM,,,Player behaviour metrics for adjusting content in VR games: the case of fear,https://doi.org/10.1145/3464385.3464705,Proceedings of the 14th Biannual Conference of the Italian SIGCHI Chapter,,2021
10.1109/VPA.2014.12,"Weyers, Benjamin, Terboven, Christian, Schmidl, Dirk, Herber, Joachim, Kuhlen, Torsten W., M\{u}ller, Matthias S., Hentschel, Bernd",Henry,,,,,No,No,No,,,ACM,,,Visualization of memory access behavior on hierarchical NUMA architectures,https://doi.org/10.1109/VPA.2014.12,Proceedings of the First Workshop on Visual Performance Analysis,,2014
10.1145/1978942.1979088,"John, Bonnie E.",Henry,,,,,No,No,No,,,ACM,,,Using predictive human performance models to inspire and support UI design recommendations,https://doi.org/10.1145/1978942.1979088,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,2011
10.1145/2567574.2567581,"Raca, Mirko, Tormey, Roland, Dillenbourg, Pierre",Henry,,,,,No,No,No,,,ACM,,,Sleepers' lag - study on motion and attention,https://doi.org/10.1145/2567574.2567581,Proceedings of the Fourth International Conference on Learning Analytics And Knowledge,,2014
10.1145/1449715.1449756,"Adar, Eytan, Dontcheva, Mira, Fogarty, James, Weld, Daniel S.",Henry,,,,,No,No,No,,,ACM,,,Zoetrope: interacting with the ephemeral web,https://doi.org/10.1145/1449715.1449756,Proceedings of the 21st Annual ACM Symposium on User Interface Software and Technology,,2008
